X OO X   X X   XX X  X   OX X  XX XO  O  O  O  OX O     X     XOOO    XOOOX   X  O        XO  XOX OOOOO    O    XX       ,1
  O      X    OO O X   X O X  XX OO    O  XX X X  O OXX     OO X X O  X   XO O X  O  X    X XO XXO  OO   X O O      X  O ,0
      X    OO O X O X  OX XXXO    O  OX     X X OX O  OO   X  XXX  OOXO O O  OOX    OO    XXX X     OOX X    O   XX      ,0
     XO O O  OX XX  OXO    X XOO     XXO     O   XXX    O O   XX O  O  O  X  O   X O X   O O  XOX  XO      XO       XX   ,0
 X    OX       X  X   X X X  OX     O        X    X    XXO   XOOOO      OX X  X   O XX   X XO O  O O  OO X  OOOOOO  XOX  ,1
 O    OX  O    OOX   O  X X X     OX X XXO   X     X OO  X O XOO     X XX O      O XO   X  XO X    O   XOX  O OO   X     ,0
    O  O  X  O     O X  X    OOX  X X O  X   XOX OOOX O O  XXXXO O  O  XO     X   XX O OX X  XO      X  X O OO OX X      ,0
  OO   X  XO XX   X O   O X  XX    OOOO XO       X X OXX O    XX     O  X  XO OX OX O    OO  X XO O     X X O   O XO    X,0
  O OOXOXOX O O XX   XO O   O  X O   O   X     X   X  XO     X   O X  XXO  X O   XX  O   O X       OO XX  OO XO X      X ,0
   XX  O  O  XOO   O   X OX X     XX   XX     XXO OOO    X   OO   X XOX   X O  X    X O   X     OX OXXO  O  X  XOOO   O O,0
  O    XXO O       XO O   OX  X  XOX    XXXO   O  XO OX O    X O   X  XX  X   X X    OO OOX  OO    O X OX  X    XOO  O  X,0
  O   X  OX  O X    X OOX    X  X  XX    X   O  OO    O  XO XXOXO   XOOOOOO   OOXX    XOO  X    X      O  X  XX X       O,1
O  O XOXX  XOO  XX X  O   OO X   O O  XOXO OX  O   X          X  O     XXXX  OO  XOOO X    OX  O  O XX XO  X      X      ,0
  X     XO      O  X    O   OXX    X    X O      OX XOX O  OXXXO OXX OX O O  X XX   O  O X  O   X   XX O   OOX X O O  O O,0
   XO  O X    O O  OX  X  X  X X    X     XO  XX    X   O   OO X O   OOX XXOXX OOOO X  OO    OX XO   O   X    X X  OXO   ,0
 OO  XX   OX O   XOX   X   X    O     XX X  OX XOOX        O X        OOXX  O X   X O OX OOXXXO  O     X OX    O X  OOO  ,0
X  XO   XO     O  XO  O OOX X   O  O   X  O O     XOO X     X  OO     XO  X   X X   X   XX XX    O  O OX X XOOO  X   XXOO,0
OOO          X   X XX X X  OOOOOO   O O  X O O  O O    X  O     X   OX   O OXOO XXOOX  X  X            X  X   XX   X X  X,1
 O    O  X   OXX   X O X    OX XO O  XXX X X OOXO  OOOXO X      X  XO O O  O  X X  O O O XX  XO O   XO  X      X         ,0
 O  X O XOO  OO O X XOOXO    XXO       O X OO O    X        XX X   O XOOX    O     XO OX O    XX  X    XXX  O X  XXO     ,0
O O  O    X    O  O XX  O  X    XO O  OXO X X X  O  X          X  OO   O  X      XX OXOX    O OXX         X          X O ,0
     O X         OX O  O O  X  XX XO   X X       XX OO  O    XOO O    OX    O    OX O XX X  X      O  XXXX O  OXOXO O X O,0
      X OXOX OO X O  XOOO X     XO OXX   O X   OXXXX     O   X   O    O XX OX  O O  XOO X    X X    OOO OX         X X   ,0
XX     O O X XX     OOOO X  X O  XO  OOOO   X  O    OO XXO         O    OXX O O O OXX   O  X    X     X     X  X X XX    ,1
   X X         X  X  OO XX    OO   XOX   O   X  OO    X X         OXX OX    OOX  O       XO X X   O X O OX   O X   O O   ,0
  O X  O OO X X  O    OX XXX    XO X  X     O  OOX  O O OOX X          X   XXO    X OXO X OOOX  X      X     OO  X  XO   ,0
X        X    X XO XXO   O   XX  O   O OOX O  X   OOX  O O  X  X        OX       OO X   OX O   X OO  X XO X  XO  X   X  O,0
OOX   X    X     X X OOX O X    O  OX X O   XO  OX X   OX  OXO     OOO X  O     XX   O      XX O  X   OXX O X  OXO XO    ,0
XO        X    XO   OX  X     X XO XX       O X  O   OO   X   OOX X     XOXOXX  XOOO    XX O X X   OOOXO O     OOO     X ,1
 X  O X     X O X  O OXO   XX    X       OO XX   O  X  X    O OO  XXX O X    O X    XO    XXXO  O OO O XO  O     XX O  O ,0
